emoji,unicode,r,g,b,hex_color
"🈂",127490,0,0,0,"#000000"
"🈷",127543,0,0,0,"#000000"
"🈶",127542,254,169,117,"#fea975"
"🈯",127535,129,211,167,"#81d3a7"
"🉐",127568,250,126,158,"#fa7e9e"
"🈹",127545,249,125,165,"#f97da5"
"🈚",127514,254,172,123,"#feac7b"
"🈲",127538,249,113,156,"#f9719c"
"🉑",127569,254,168,113,"#fea871"
"🈸",127544,254,166,111,"#fea66f"
"🈴",127540,249,106,151,"#f96a97"
"🈳",127539,120,176,243,"#78b0f3"
"㊗",12951,0,0,0,"#000000"
"㊙",12953,0,0,0,"#000000"
"🈺",127546,254,171,121,"#feab79"
"🈵",127541,249,120,161,"#f978a1"
"🔴",128308,222,72,94,"#de485e"
"🟠",128992,249,130,84,"#f98254"
"🟡",128993,231,186,84,"#e7ba54"
"🟢",128994,96,210,150,"#60d296"
"🔵",128309,78,130,209,"#4e82d1"
"🟣",128995,133,104,191,"#8568bf"
"🟤",128996,135,90,92,"#875a5c"
"⚫",9899,77,69,85,"#4d4555"
"⚪",9898,217,204,228,"#d9cce4"
"🟥",128997,214,62,102,"#d63e66"
"🟧",128999,248,106,66,"#f86a42"
"🟨",129000,255,169,77,"#ffa94d"
"🟩",129001,74,192,135,"#4ac087"
"🟦",128998,65,127,212,"#417fd4"
"🟪",129002,136,96,220,"#8860dc"
"🟫",129003,129,83,88,"#815358"
"⬜",11036,215,197,231,"#d7c5e7"
"◼",9724,0,0,0,"#000000"
"◻",9723,0,0,0,"#000000"
"◾",9726,68,63,73,"#443f49"
"◽",9725,212,192,229,"#d4c0e5"
"▪",9642,0,0,0,"#000000"
"▫",9643,0,0,0,"#000000"
"🔶",128310,241,109,76,"#f16d4c"
"🔷",128311,64,134,220,"#4086dc"
"🔸",128312,241,109,77,"#f16d4d"
"🔹",128313,64,134,220,"#4086dc"
"🔺",128314,217,60,118,"#d93c76"
"🔻",128315,215,56,108,"#d7386c"
"💠",128160,86,179,255,"#56b3ff"
"🔘",128280,146,141,151,"#928d97"
"🔳",128307,123,108,139,"#7b6c8b"
"🔲",128306,155,140,172,"#9b8cac"
"🏁",127937,147,140,154,"#938c9a"
"🚩",128681,239,96,120,"#ef6078"
"🎌",127884,208,183,201,"#d0b7c9"
"🏴",127988,71,46,87,"#472e57"
"🏳",127987,0,0,0,"#000000"
"🇦",127462,0,0,0,"#000000"
"🇨",127464,0,0,0,"#000000"
"🇩",127465,0,0,0,"#000000"
"🇪",127466,0,0,0,"#000000"
"🇫",127467,0,0,0,"#000000"
"🇬",127468,0,0,0,"#000000"
"🇮",127470,0,0,0,"#000000"
"🇱",127473,0,0,0,"#000000"
"🇲",127474,0,0,0,"#000000"
"🇴",127476,0,0,0,"#000000"
"🇶",127478,0,0,0,"#000000"
"🇷",127479,0,0,0,"#000000"
"🇸",127480,0,0,0,"#000000"
"🇹",127481,0,0,0,"#000000"
"🇺",127482,0,0,0,"#000000"
"🇼",127484,0,0,0,"#000000"
"🇽",127485,0,0,0,"#000000"
"🇿",127487,0,0,0,"#000000"
"🇧",127463,0,0,0,"#000000"
"🇭",127469,0,0,0,"#000000"
"🇯",127471,0,0,0,"#000000"
"🇳",127475,0,0,0,"#000000"
"🇻",127483,0,0,0,"#000000"
"🇾",127486,0,0,0,"#000000"
"🇰",127472,0,0,0,"#000000"
"🇵",127477,0,0,0,"#000000"
