emoji,unicode,r,g,b,hex_color
"🐷",128055,250,142,182,"#fa8eb6"
"🐖",128022,252,133,161,"#fc85a1"
"🐗",128023,163,103,108,"#a3676c"
"🐽",128061,215,122,158,"#d77a9e"
"🐏",128015,207,183,186,"#cfb7ba"
"🐑",128017,207,184,190,"#cfb8be"
"🐐",128016,198,134,97,"#c68661"
"🐪",128042,221,150,112,"#dd9670"
"🐫",128043,220,152,111,"#dc986f"
"🦙",129433,222,197,217,"#dec5d9"
"🦒",129426,214,134,66,"#d68642"
"🐘",128024,182,176,194,"#b6b0c2"
"🦣",129443,131,85,85,"#835555"
"🦏",129423,129,123,135,"#817b87"
"🦛",129435,120,108,115,"#786c73"
"🐭",128045,210,171,196,"#d2abc4"
"🐁",128001,195,165,182,"#c3a5b6"
"🐀",128000,128,99,114,"#806372"
"🐹",128057,239,160,133,"#efa085"
"🐰",128048,205,193,204,"#cdc1cc"
"🐇",128007,202,184,209,"#cab8d1"
"🐿",128063,0,0,0,"#000000"
"🦫",129451,120,84,86,"#785456"
"🦔",129428,183,119,107,"#b7776b"
"🦇",129415,175,112,101,"#af7065"
"🐻",128059,160,104,102,"#a06866"
"🐨",128040,157,154,166,"#9d9aa6"
"🐼",128060,182,166,205,"#b6a6cd"
"🦥",129445,222,161,124,"#dea17c"
"🦦",129446,132,82,82,"#845252"
"🦨",129448,114,107,121,"#726b79"
"🦘",129432,229,160,111,"#e5a06f"
"🦡",129441,115,106,122,"#736a7a"
"🐾",128062,71,56,89,"#473859"
"🦃",129411,127,84,76,"#7f544c"
"🐔",128020,227,183,202,"#e3b7ca"
"🐓",128019,164,106,93,"#a46a5d"
"🐣",128035,218,188,148,"#dabc94"
"🐤",128036,253,188,82,"#fdbc52"
"🐥",128037,241,170,54,"#f1aa36"
"🐦",128038,227,44,107,"#e32c6b"
"🐧",128039,181,138,187,"#b58abb"
"🕊",128330,0,0,0,"#000000"
"🦅",129413,186,135,123,"#ba877b"
"🦆",129414,170,161,159,"#aaa19f"
"🦢",129442,219,207,225,"#dbcfe1"
"🦉",129417,177,123,95,"#b17b5f"
"🦤",129444,192,175,180,"#c0afb4"
"🪶",129718,207,139,103,"#cf8b67"
"🦩",129449,234,125,167,"#ea7da7"
"🦚",129434,105,192,150,"#69c096"
"🦜",129436,212,109,125,"#d46d7d"
"🪽",129725,176,162,190,"#b0a2be"
"⬛",11035,70,66,76,"#46424c"
"🪿",129727,179,108,101,"#b36c65"
"🐸",128056,163,194,115,"#a3c273"
"🐊",128010,83,174,137,"#53ae89"
"🐢",128034,102,176,131,"#66b083"
"🦎",129422,74,194,144,"#4ac290"
"🐍",128013,84,193,153,"#54c199"
"🐲",128050,133,157,137,"#859d89"
"🐉",128009,128,164,135,"#80a487"
"🦕",129429,79,193,152,"#4fc198"
"🦖",129430,71,199,142,"#47c78e"
"🐳",128051,115,192,252,"#73c0fc"
"🐋",128011,102,183,249,"#66b7f9"
"🐬",128044,70,189,254,"#46bdfe"
"🦭",129453,167,161,172,"#a7a1ac"
"🐟",128031,73,161,249,"#49a1f9"
"🐠",128032,135,153,198,"#8799c6"
"🐡",128033,234,179,141,"#eab38d"
"🦈",129416,168,162,175,"#a8a2af"
"🐙",128025,237,127,116,"#ed7f74"
"🐚",128026,178,171,194,"#b2abc2"
"🪸",129720,204,134,96,"#cc8660"
"🪼",129724,113,124,232,"#717ce8"
"🐌",128012,161,106,90,"#a16a5a"
"🦋",129419,138,65,87,"#8a4157"
"🐛",128027,83,189,160,"#53bda0"
"🐜",128028,84,74,129,"#544a81"
"🐝",128029,148,129,134,"#948186"
"🪲",129714,120,168,123,"#78a87b"
"🐞",128030,142,66,102,"#8e4266"
"🦗",129431,127,197,112,"#7fc570"
"🪳",129715,126,77,81,"#7e4d51"
"🕷",128375,0,0,0,"#000000"
"🕸",128376,0,0,0,"#000000"
"🦂",129410,110,69,70,"#6e4546"
"🦟",129439,157,117,128,"#9d7580"
"🪰",129712,123,154,197,"#7b9ac5"
"🪱",129713,197,99,123,"#c5637b"
"🦠",129440,84,202,147,"#54ca93"
"💐",128144,166,142,108,"#a68e6c"
"🌸",127800,252,120,155,"#fc789b"
"💮",128174,237,187,230,"#edbbe6"
"🪷",129719,194,127,143,"#c27f8f"
"🏵",127989,0,0,0,"#000000"
"🌹",127801,192,93,78,"#c05d4e"
"🥀",129344,156,104,74,"#9c684a"
"🌺",127802,230,103,177,"#e667b1"
"🌻",127803,186,163,82,"#baa352"
"🌼",127804,204,191,191,"#ccbfbf"
"🌷",127799,195,100,151,"#c36497"
"🪻",129723,142,112,173,"#8e70ad"
"🌱",127793,156,173,86,"#9cad56"
"🪴",129716,174,166,84,"#aea654"
"🌲",127794,105,157,87,"#699d57"
"🌳",127795,108,163,90,"#6ca35a"
"🌴",127796,131,135,78,"#83874e"
"🌵",127797,100,177,98,"#64b162"
"🌿",127807,159,200,82,"#9fc852"
"☘",9752,0,0,0,"#000000"
"🍀",127808,74,190,133,"#4abe85"
"🍁",127809,240,63,131,"#f03f83"
"🍂",127810,207,94,65,"#cf5e41"
"🍃",127811,92,183,145,"#5cb791"
"🪹",129721,169,123,96,"#a97b60"
"🪺",129722,155,141,125,"#9b8d7d"
"🍄",127812,249,125,143,"#f97d8f"
"🍇",127815,112,89,128,"#705980"
"🍈",127816,180,194,131,"#b4c283"
"🍉",127817,212,95,101,"#d45f65"
"🍊",127818,236,172,64,"#ecac40"
"🍋",127819,238,203,80,"#eecb50"
"🍌",127820,249,188,76,"#f9bc4c"
"🍍",127821,231,172,93,"#e7ac5d"
"🥭",129389,237,172,58,"#edac3a"
"🍎",127822,218,78,89,"#da4e59"
"🍏",127823,174,209,79,"#aed14f"
"🍐",127824,202,202,68,"#caca44"
"🍑",127825,242,138,78,"#f28a4e"
"🍒",127826,196,92,74,"#c45c4a"
"🍓",127827,188,85,82,"#bc5552"
"🫐",129744,128,96,188,"#8060bc"
"🥝",129373,174,194,79,"#aec24f"
"🍅",127813,200,97,88,"#c86158"
"🫒",129746,125,151,80,"#7d9750"
"🥥",129381,178,146,159,"#b2929f"
"🥑",129361,137,175,85,"#89af55"
"🍆",127814,110,78,236,"#6e4eec"
"🥔",129364,222,165,134,"#dea586"
"🥕",129365,220,159,71,"#dc9f47"
"🌽",127805,138,169,44,"#8aa92c"
"🌶",127798,0,0,0,"#000000"
"🫑",129745,103,155,88,"#679b58"
"🥒",129362,115,164,97,"#73a461"
"🥬",129388,113,156,57,"#719c39"
"🥦",129382,49,174,127,"#31ae7f"
"🧄",129476,210,161,157,"#d2a19d"
"🧅",129477,219,157,99,"#db9d63"
"🥜",129372,197,144,117,"#c59075"
"🫘",129752,146,73,80,"#924950"
"🌰",127792,146,94,89,"#925e59"
"🫚",129754,225,136,96,"#e18860"
"🫛",129755,96,155,68,"#609b44"
"🍞",127838,211,160,107,"#d3a06b"
"🥐",129360,225,155,104,"#e19b68"
"🥖",129366,234,171,123,"#eaab7b"
"🫓",129747,246,193,162,"#f6c1a2"
"🥨",129384,234,135,64,"#ea8740"
"🥯",129391,244,187,160,"#f4bba0"
"🥞",129374,201,158,106,"#c99e6a"
"🧇",129479,225,163,104,"#e1a368"
"🧀",129472,253,216,77,"#fdd84d"
"🍖",127830,147,105,102,"#936966"
"🍗",127831,205,140,123,"#cd8c7b"
"🥩",129385,231,137,143,"#e7898f"
"🥓",129363,242,117,129,"#f27581"
"🍔",127828,195,152,106,"#c3986a"
"🍟",127839,220,94,91,"#dc5e5b"
"🍕",127829,250,176,105,"#fab069"
"🌭",127789,233,151,104,"#e99768"
"🥪",129386,212,182,138,"#d4b68a"
"🌮",127790,212,178,85,"#d4b255"
"🌯",127791,214,183,174,"#d6b7ae"
"🫔",129748,211,171,82,"#d3ab52"
"🥙",129369,181,157,115,"#b59d73"
"🧆",129478,141,104,87,"#8d6857"
"🥚",129370,211,141,91,"#d38d5b"
"🥘",129368,143,115,99,"#8f7363"
"🍲",127858,196,144,129,"#c49081"
"🫕",129749,206,93,114,"#ce5d72"
"🥣",129379,72,113,212,"#4871d4"
"🥗",129367,165,157,148,"#a59d94"
"🍿",127871,234,121,156,"#ea799c"
"🧈",129480,232,191,107,"#e8bf6b"
"🧂",129474,196,216,226,"#c4d8e2"
"🥫",129387,204,138,167,"#cc8aa7"
"🍱",127857,116,103,118,"#746776"
"🍘",127832,169,116,104,"#a97468"
"🍙",127833,168,160,186,"#a8a0ba"
"🍚",127834,211,130,154,"#d3829a"
"🍛",127835,216,167,142,"#d8a78e"
"🍜",127836,218,92,103,"#da5c67"
"🍝",127837,204,152,133,"#cc9885"
"🍠",127840,244,115,85,"#f47355"
"🍢",127842,182,141,153,"#b68d99"
"🍣",127843,227,118,122,"#e3767a"
"🍤",127844,245,147,64,"#f59340"
"🍥",127845,217,195,223,"#d9c3df"
"🥮",129390,219,165,108,"#dba56c"
"🍡",127841,172,175,143,"#acaf8f"
"🥟",129375,220,169,111,"#dca96f"
"🥠",129376,233,172,90,"#e9ac5a"
"🥡",129377,213,197,206,"#d5c5ce"
"🦀",129408,251,63,142,"#fb3f8e"
"🦞",129438,214,84,97,"#d65461"
"🦐",129424,234,86,75,"#ea564b"
"🦑",129425,214,70,178,"#d646b2"
"🦪",129450,188,152,147,"#bc9893"
"🍦",127846,243,199,148,"#f3c794"
"🍧",127847,193,161,221,"#c1a1dd"
"🍨",127848,179,171,188,"#b3abbc"
"🍩",127849,167,106,98,"#a76a62"
"🍪",127850,206,154,127,"#ce9a7f"
"🎂",127874,233,190,149,"#e9be95"
"🍰",127856,248,191,153,"#f8bf99"
"🧁",129473,191,118,204,"#bf76cc"
"🥧",129383,232,164,116,"#e8a474"
"🍫",127851,172,79,95,"#ac4f5f"
"🍬",127852,206,82,72,"#ce5248"
"🍭",127853,193,154,171,"#c19aab"
"🍮",127854,178,135,114,"#b28772"
"🍯",127855,183,119,79,"#b7774f"
"🥛",129371,211,226,243,"#d3e2f3"
"☕",9749,156,131,151,"#9c8397"
"🫖",129750,234,55,111,"#ea376f"
"🍵",127861,192,188,195,"#c0bcc3"
"🍶",127862,204,205,230,"#cccde6"
"🍾",127870,155,165,101,"#9ba565"
"🍷",127863,210,170,222,"#d2aade"
"🍸",127864,184,224,204,"#b8e0cc"
"🍹",127865,199,172,146,"#c7ac92"
"🍺",127866,221,205,190,"#ddcdbe"
"🍻",127867,220,206,191,"#dccebf"
"🥂",129346,220,229,220,"#dce5dc"
"🥃",129347,186,201,195,"#bac9c3"
"🫗",129751,166,219,253,"#a6dbfd"
"🥤",129380,217,148,177,"#d994b1"
"🧋",129483,216,166,147,"#d8a693"
"🧃",129475,159,187,110,"#9fbb6e"
"🧉",129481,171,123,113,"#ab7b71"
"🧊",129482,85,189,243,"#55bdf3"
"🥢",129378,170,46,76,"#aa2e4c"
"🍽",127869,0,0,0,"#000000"
"🍴",127860,185,178,199,"#b9b2c7"
"🥄",129348,179,170,194,"#b3aac2"
"🔪",128298,165,156,196,"#a59cc4"
"🫙",129753,192,222,236,"#c0deec"
"🏺",127994,173,112,80,"#ad7050"
"🌍",127757,76,175,199,"#4cafc7"
"🌎",127758,68,170,206,"#44aace"
"🌏",127759,70,175,202,"#46afca"
"🌐",127760,84,196,251,"#54c4fb"
"🗺",128506,0,0,0,"#000000"
"🗾",128510,90,201,153,"#5ac999"
"🧭",129517,211,175,144,"#d3af90"
"🏔",127956,0,0,0,"#000000"
"⛰",9968,0,0,0,"#000000"
"🌋",127755,136,93,117,"#885d75"
"🗻",128507,100,89,111,"#64596f"
"🏕",127957,0,0,0,"#000000"
"🏖",127958,0,0,0,"#000000"
"🏜",127964,0,0,0,"#000000"
"🏝",127965,0,0,0,"#000000"
"🏞",127966,0,0,0,"#000000"
"🏟",127967,0,0,0,"#000000"
"🏛",127963,0,0,0,"#000000"
"🏗",127959,0,0,0,"#000000"
"🧱",129521,226,124,96,"#e27c60"
"🪨",129704,210,207,214,"#d2cfd6"
"🪵",129717,135,91,80,"#875b50"
"🛖",128726,153,107,88,"#996b58"
"🏘",127960,0,0,0,"#000000"
"🏚",127962,0,0,0,"#000000"
"🏠",127968,177,140,109,"#b18c6d"
"🏡",127969,149,146,108,"#95926c"
"🏢",127970,149,166,186,"#95a6ba"
"🏣",127971,166,150,158,"#a6969e"
"🏤",127972,166,153,159,"#a6999f"
"🏥",127973,183,157,194,"#b79dc2"
"🏦",127974,159,151,167,"#9f97a7"
"🏨",127976,204,151,150,"#cc9796"
"🏩",127977,207,129,140,"#cf818c"
"🏪",127978,160,137,164,"#a089a4"
"🏬",127980,109,147,196,"#6d93c4"
"🏯",127983,197,89,131,"#c55983"
"🏰",127984,199,146,182,"#c792b6"
"💒",128146,182,175,153,"#b6af99"
"🗼",128508,232,104,78,"#e8684e"
"🗽",128509,97,176,155,"#61b09b"
"⛪",9962,162,130,117,"#a28275"
"🕌",128332,167,137,129,"#a78981"
"🛕",128725,184,124,69,"#b87c45"
"🕍",128333,169,134,103,"#a98667"
"⛩",9961,0,0,0,"#000000"
"🕋",128331,103,86,73,"#675649"
"⛲",9970,169,181,204,"#a9b5cc"
"⛺",9978,92,169,60,"#5ca93c"
"🌁",127745,181,187,196,"#b5bbc4"
"🌃",127747,87,71,95,"#57475f"
"🏙",127961,0,0,0,"#000000"
"🌄",127748,156,127,72,"#9c7f48"
"🌅",127749,198,136,124,"#c6887c"
"🌆",127750,120,84,133,"#785485"
"🌇",127751,156,104,103,"#9c6867"
"🌉",127753,124,93,123,"#7c5d7b"
"♨",9832,0,0,0,"#000000"
"🎠",127904,191,123,85,"#bf7b55"
"🛝",128733,191,134,165,"#bf86a5"
"🎡",127905,172,139,148,"#ac8b94"
"🎢",127906,187,126,117,"#bb7e75"
"💈",128136,182,154,190,"#b69abe"
"🎪",127914,189,110,147,"#bd6e93"
"🚂",128642,133,85,110,"#85556e"
"🚃",128643,156,164,117,"#9ca475"
"🚄",128644,110,146,188,"#6e92bc"
"🚅",128645,143,164,202,"#8fa4ca"
"🚆",128646,99,131,163,"#6383a3"
"🚇",128647,119,90,131,"#775a83"
"🚈",128648,148,165,181,"#94a5b5"
"🚉",128649,135,147,191,"#8793bf"
"🚊",128650,157,128,171,"#9d80ab"
"🚝",128669,133,165,227,"#85a5e3"
"🚞",128670,129,175,145,"#81af91"
"🚋",128651,158,136,172,"#9e88ac"
"🚌",128652,153,164,168,"#99a4a8"
"🚍",128653,135,148,158,"#87949e"
"🚎",128654,138,176,203,"#8ab0cb"
"🚐",128656,153,167,210,"#99a7d2"
"🚑",128657,199,127,169,"#c77fa9"
"🚓",128659,114,127,153,"#727f99"
"🚔",128660,99,130,145,"#638291"
"🚕",128661,179,159,120,"#b39f78"
"🚖",128662,186,166,120,"#baa678"
"🚗",128663,158,87,128,"#9e5780"
"🚘",128664,142,116,152,"#8e7498"
"🚙",128665,84,130,187,"#5482bb"
"🛻",128763,162,73,99,"#a24963"
"🚚",128666,196,140,95,"#c48c5f"
"🚛",128667,146,163,168,"#92a3a8"
"🚜",128668,62,145,129,"#3e9181"
"🏎",127950,0,0,0,"#000000"
"🏍",127949,0,0,0,"#000000"
"🛵",128757,206,57,103,"#ce3967"
"🛺",128762,122,142,107,"#7a8e6b"
"🚲",128690,179,129,148,"#b38194"
"🛴",128756,76,125,183,"#4c7db7"
"🛹",128761,101,78,111,"#654e6f"
"🛼",128764,187,100,118,"#bb6476"
"🚏",128655,95,137,186,"#5f89ba"
"🛣",128739,0,0,0,"#000000"
"🛤",128740,0,0,0,"#000000"
"🛢",128738,0,0,0,"#000000"
"⛽",9981,195,90,114,"#c35a72"
"🛞",128734,175,120,103,"#af7867"
"🚨",128680,229,119,131,"#e57783"
"🚥",128677,90,78,81,"#5a4e51"
"🚦",128678,91,79,81,"#5b4f51"
"🛑",128721,212,93,130,"#d45d82"
"🚧",128679,160,125,86,"#a07d56"
"⚓",9875,67,177,234,"#43b1ea"
"🛟",128735,213,117,155,"#d5759b"
"⛵",9973,179,166,167,"#b3a6a7"
"🛶",128758,140,144,175,"#8c90af"
"🚤",128676,160,164,197,"#a0a4c5"
"🛳",128755,0,0,0,"#000000"
"⛴",9972,0,0,0,"#000000"
"🛥",128741,0,0,0,"#000000"
"🚢",128674,193,163,191,"#c1a3bf"
"🛩",128745,0,0,0,"#000000"
"🛫",128747,132,156,185,"#849cb9"
"🛬",128748,135,162,191,"#87a2bf"
"🪂",129666,170,154,133,"#aa9a85"
"💺",128186,119,169,207,"#77a9cf"
"🚁",128641,206,146,132,"#ce9284"
"🚟",128671,156,192,212,"#9cc0d4"
"🚠",128672,153,163,170,"#99a3aa"
"🚡",128673,150,175,153,"#96af99"
"🛰",128752,0,0,0,"#000000"
"🛸",128760,168,174,145,"#a8ae91"
"🛎",128718,0,0,0,"#000000"
"🧳",129523,74,140,206,"#4a8cce"
"⌛",8987,196,196,178,"#c4c4b2"
"⏳",9203,193,193,175,"#c1c1af"
"⌚",8986,133,134,205,"#8586cd"
"⏰",9200,231,146,151,"#e79297"
"⏱",9201,0,0,0,"#000000"
"⏲",9202,0,0,0,"#000000"
"🕰",128368,0,0,0,"#000000"
"🕛",128347,165,160,167,"#a5a0a7"
"🕧",128359,166,160,167,"#a6a0a7"
"🕐",128336,167,160,168,"#a7a0a8"
"🕜",128348,167,160,168,"#a7a0a8"
"🕑",128337,166,159,167,"#a69fa7"
"🕝",128349,164,157,164,"#a49da4"
"🕒",128338,165,159,166,"#a59fa6"
"🕞",128350,166,159,166,"#a69fa6"
"🕓",128339,166,159,167,"#a69fa7"
"🕟",128351,164,157,164,"#a49da4"
"🕔",128340,166,159,166,"#a69fa6"
"🕠",128352,166,159,167,"#a69fa7"
"🕕",128341,167,160,167,"#a7a0a7"
"🕡",128353,167,163,170,"#a7a3aa"
"🕖",128342,166,159,167,"#a69fa7"
"🕢",128354,166,159,167,"#a69fa7"
"🕗",128343,166,159,167,"#a69fa7"
"🕣",128355,166,159,166,"#a69fa6"
"🕘",128344,166,159,167,"#a69fa7"
"🕤",128356,166,159,166,"#a69fa6"
"🕙",128345,166,160,167,"#a6a0a7"
"🕥",128357,165,159,166,"#a59fa6"
"🕚",128346,166,160,167,"#a6a0a7"
"🕦",128358,166,159,166,"#a69fa6"
"🌑",127761,120,82,157,"#78529d"
"🌒",127762,150,115,150,"#967396"
"🌓",127763,174,139,126,"#ae8b7e"
"🌔",127764,200,162,71,"#c8a247"
"🌕",127765,234,186,110,"#eaba6e"
"🌖",127766,210,157,121,"#d29d79"
"🌗",127767,181,128,133,"#b58085"
"🌘",127768,147,100,139,"#93648b"
"🌙",127769,246,187,104,"#f6bb68"
"🌚",127770,136,102,196,"#8866c4"
"🌛",127771,237,175,93,"#edaf5d"
"🌜",127772,232,175,103,"#e8af67"
"🌡",127777,0,0,0,"#000000"
"☀",9728,0,0,0,"#000000"
"🌝",127773,221,170,102,"#ddaa66"
"🌞",127774,223,150,48,"#df9630"
"🪐",129680,236,164,77,"#eca44d"
"⭐",11088,229,188,55,"#e5bc37"
"🌟",127775,235,191,52,"#ebbf34"
"🌠",127776,126,105,70,"#7e6946"
"🌌",127756,59,92,123,"#3b5c7b"
"☁",9729,0,0,0,"#000000"
"⛅",9925,225,199,195,"#e1c7c3"
"⛈",9928,0,0,0,"#000000"
"🌤",127780,0,0,0,"#000000"
"🌥",127781,0,0,0,"#000000"
"🌦",127782,0,0,0,"#000000"
"🌧",127783,0,0,0,"#000000"
"🌨",127784,0,0,0,"#000000"
"🌩",127785,0,0,0,"#000000"
"🌪",127786,0,0,0,"#000000"
"🌬",127788,0,0,0,"#000000"
"🌀",127744,71,86,252,"#4756fc"
"🌈",127752,193,151,147,"#c19793"
"🌂",127746,107,67,155,"#6b439b"
"☂",9730,0,0,0,"#000000"
"☔",9748,110,94,169,"#6e5ea9"
"⛱",9969,0,0,0,"#000000"
"⚡",9889,244,135,77,"#f4874d"
"❄",10052,0,0,0,"#000000"
"☃",9731,0,0,0,"#000000"
"⛄",9924,169,172,205,"#a9accd"
"☄",9732,0,0,0,"#000000"
"💧",128167,119,188,251,"#77bcfb"
"🌊",127754,87,170,246,"#57aaf6"
"🎃",127875,215,105,89,"#d76959"
"🎆",127878,113,70,116,"#714674"
"🎇",127879,122,85,115,"#7a5573"
"🧨",129512,221,57,98,"#dd3962"
"✨",10024,250,175,95,"#faaf5f"
"🎈",127880,185,59,104,"#b93b68"
"🎉",127881,159,123,145,"#9f7b91"
"🎊",127882,164,136,120,"#a48878"
"🎋",127883,134,157,105,"#869d69"
"🎍",127885,143,152,96,"#8f9860"
"🎎",127886,176,149,156,"#b0959c"
"🎏",127887,175,133,165,"#af85a5"
"🎐",127888,178,207,238,"#b2cfee"
"🎑",127889,142,112,120,"#8e7078"
"🧧",129511,223,60,102,"#df3c66"
"🎀",127872,195,37,67,"#c32543"
"🎁",127873,225,126,62,"#e17e3e"
"🎗",127895,0,0,0,"#000000"
"🎟",127903,0,0,0,"#000000"
"🎫",127915,239,198,71,"#efc647"
"🎖",127894,0,0,0,"#000000"
"🏆",127942,210,147,86,"#d29356"
"🏅",127941,211,147,112,"#d39370"
"🥇",129351,176,149,125,"#b0957d"
"🥈",129352,154,167,223,"#9aa7df"
"🥉",129353,148,128,139,"#94808b"
"⚽",9917,137,155,219,"#899bdb"
"⚾",9918,214,182,204,"#d6b6cc"
"🥎",129358,168,180,80,"#a8b450"
"🏀",127936,216,102,67,"#d86643"
"🏐",127952,207,188,218,"#cfbcda"
"🏈",127944,146,108,112,"#926c70"
"🏉",127945,252,153,86,"#fc9956"
"🎾",127934,202,133,155,"#ca859b"
"🥏",129359,93,205,247,"#5dcdf7"
"🎳",127923,179,157,195,"#b39dc3"
"🏏",127951,225,158,161,"#e19ea1"
"🏑",127953,202,151,165,"#ca97a5"
"🏒",127954,213,149,170,"#d595aa"
"🥍",129357,139,152,194,"#8b98c2"
"🏓",127955,224,89,152,"#e05998"
"🏸",127992,126,149,202,"#7e95ca"
"🥊",129354,217,88,131,"#d95883"
"🥋",129355,184,177,199,"#b8b1c7"
"🥅",129349,218,124,176,"#da7cb0"
"⛳",9971,142,162,109,"#8ea26d"
"⛸",9976,0,0,0,"#000000"
"🎣",127907,124,153,176,"#7c99b0"
"🤿",129343,191,94,161,"#bf5ea1"
"🎽",127933,145,184,97,"#91b861"
"🎿",127935,152,149,177,"#9895b1"
"🛷",128759,243,138,125,"#f38a7d"
"🥌",129356,228,140,172,"#e48cac"
"🎯",127919,180,117,165,"#b475a5"
"🪀",129664,164,119,199,"#a477c7"
"🪁",129665,180,180,145,"#b4b491"
"🔫",128299,172,157,108,"#ac9d6c"
"🎱",127921,84,72,97,"#544861"
"🔮",128302,126,108,126,"#7e6c7e"
"🪄",129668,183,124,108,"#b77c6c"
"🎮",127918,97,71,148,"#614794"
"🕹",128377,0,0,0,"#000000"
"🎰",127920,162,143,170,"#a28faa"
"🎲",127922,197,187,205,"#c5bbcd"
"🧩",129513,180,218,138,"#b4da8a"
"🧸",129528,225,144,93,"#e1905d"
"🪅",129669,180,123,144,"#b47b90"
"🪩",129705,181,178,185,"#b5b2b9"
"🪆",129670,216,107,140,"#d86b8c"
"♠",9824,0,0,0,"#000000"
"♥",9829,0,0,0,"#000000"
"♦",9830,0,0,0,"#000000"
"♣",9827,0,0,0,"#000000"
"♟",9823,0,0,0,"#000000"
"🃏",127183,209,196,208,"#d1c4d0"
"🀄",126980,224,191,203,"#e0bfcb"
"🎴",127924,192,79,124,"#c04f7c"
"🎭",127917,157,173,172,"#9dadac"
"🖼",128444,0,0,0,"#000000"
"🧵",129525,143,141,158,"#8f8d9e"
"🪡",129697,130,159,211,"#829fd3"
"🧶",129526,58,120,202,"#3a78ca"
"🪢",129698,50,113,205,"#3271cd"
"👓",128083,95,160,210,"#5fa0d2"
"🕶",128374,0,0,0,"#000000"
"🥽",129405,84,168,228,"#54a8e4"
"🥼",129404,198,189,219,"#c6bddb"
"👔",128084,95,135,215,"#5f87d7"
"👕",128085,142,217,126,"#8ed97e"
"👖",128086,75,151,237,"#4b97ed"
"🧣",129507,230,36,88,"#e62458"
"🧤",129508,166,82,199,"#a652c7"
"🧥",129509,223,173,123,"#dfad7b"
"🧦",129510,143,160,191,"#8fa0bf"
"👗",128087,62,125,218,"#3e7dda"
"👘",128088,78,148,219,"#4e94db"
"🥻",129403,131,178,155,"#83b29b"
"🩱",129649,225,104,193,"#e168c1"
"🩲",129650,76,186,248,"#4cbaf8"
"🩳",129651,108,217,134,"#6cd986"
"👙",128089,234,72,123,"#ea487b"
"👚",128090,243,94,195,"#f35ec3"
"🪭",129709,192,48,83,"#c03053"
"👛",128091,242,78,107,"#f24e6b"
"👜",128092,162,118,113,"#a27671"
"👝",128093,239,153,166,"#ef99a6"
"🛍",128717,0,0,0,"#000000"
"🎒",127890,236,72,123,"#ec487b"
"🩴",129652,110,146,216,"#6e92d8"
"👞",128094,168,99,102,"#a86366"
"👟",128095,182,161,207,"#b6a1cf"
"🥾",129406,203,141,95,"#cb8d5f"
"🥿",129407,61,146,227,"#3d92e3"
"👠",128096,207,41,98,"#cf2962"
"👡",128097,225,115,120,"#e17378"
"🩰",129648,208,78,160,"#d04ea0"
"👢",128098,240,100,114,"#f06472"
"🪮",129710,130,90,157,"#825a9d"
"👑",128081,229,157,98,"#e59d62"
"👒",128082,224,126,106,"#e07e6a"
"🎩",127913,97,61,93,"#613d5d"
"🧢",129506,100,136,238,"#6488ee"
"🪖",129686,85,122,98,"#557a62"
"⛑",9937,0,0,0,"#000000"
"📿",128255,242,149,113,"#f29571"
"💄",128132,195,91,114,"#c35b72"
"💍",128141,169,174,220,"#a9aedc"
"💎",128142,62,160,229,"#3ea0e5"
"🔇",128263,212,172,190,"#d4acbe"
"🔈",128264,204,200,210,"#ccc8d2"
"🔉",128265,194,197,213,"#c2c5d5"
"🔊",128266,177,191,216,"#b1bfd8"
"📢",128226,209,104,147,"#d16893"
"📣",128227,229,154,85,"#e59a55"
"📯",128239,235,146,77,"#eb924d"
"🔔",128276,244,184,83,"#f4b853"
"🔕",128277,245,156,92,"#f59c5c"
"🎼",127932,173,162,184,"#ada2b8"
"🎵",127925,109,99,161,"#6d63a1"
"🎶",127926,107,97,159,"#6b619f"
"🎙",127897,0,0,0,"#000000"
"🎚",127898,0,0,0,"#000000"
"🎛",127899,0,0,0,"#000000"
"🎧",127911,189,185,193,"#bdb9c1"
"📻",128251,151,156,178,"#979cb2"
"🎷",127927,209,165,82,"#d1a552"
"🪗",129687,229,112,145,"#e57091"
"🎸",127928,201,108,152,"#c96c98"
"🎹",127929,149,137,162,"#9589a2"
"🎺",127930,209,155,75,"#d19b4b"
"🎻",127931,124,86,88,"#7c5658"
"🪕",129685,158,135,145,"#9e8791"
"🥁",129345,225,170,180,"#e1aab4"
"🪘",129688,189,129,94,"#bd815e"
"🪇",129671,179,165,113,"#b3a571"
"🪈",129672,225,135,100,"#e18764"
"📱",128241,109,92,134,"#6d5c86"
"📲",128242,106,103,147,"#6a6793"
"☎",9742,0,0,0,"#000000"
"📞",128222,217,59,123,"#d93b7b"
"📟",128223,91,142,128,"#5b8e80"
"📠",128224,126,116,145,"#7e7491"
"🔋",128267,185,224,154,"#b9e09a"
"🪫",129707,186,141,163,"#ba8da3"
"🔌",128268,84,69,83,"#544553"
"🖥",128421,0,0,0,"#000000"
"🖨",128424,0,0,0,"#000000"
"⌨",9000,0,0,0,"#000000"
"🖱",128433,0,0,0,"#000000"
"🖲",128434,0,0,0,"#000000"
"💽",128189,175,136,138,"#af888a"
"💾",128190,142,117,165,"#8e75a5"
"💿",128191,211,196,222,"#d3c4de"
"📀",128192,247,181,88,"#f7b558"
"🧮",129518,203,127,107,"#cb7f6b"
"🎥",127909,86,70,98,"#564662"
"🎞",127902,0,0,0,"#000000"
